beta_floor,n_floored,median_gap_unconstrained,median_gap_constrained
1.05,35,1.6026802952166388,4.819708799172478
1.1,38,1.6028955836023486,5.121427478681115
1.2,43,1.6048120077171726,5.361843517465292
1.3,48,1.6077004561317152,5.502903396846102
1.5,58,1.6062903917722082,5.729168936702933
