phi,gamma_feasible,unif_feasible,n_joint,median_gamma_star,median_m_star,median_gap_gamma,mean_gap_gamma,median_gap_unif,mean_gap_unif,gamma_wins,median_adv_pp,mean_adv_pp,unif_below_c
1.05,31,31,31,-0.24580420682432724,0.2650864768763389,2.487726096921789,3.9215183306096586,10.989890885746822,12.735313768177761,31,8.470149252318222,8.813795437568098,0
1.1,31,31,31,-0.3087629014413612,0.2293773794974044,3.789667888688135,6.4696117236454596,13.281006870557368,16.021966733409982,31,9.334011959544418,9.552355009764522,0
1.15,30,31,30,-0.36794402711895213,0.19301648556517986,5.361843517465292,9.633267918466112,15.884808560880707,19.51531066122021,29,10.904226262394555,9.882042742754097,0
1.2,29,29,29,-0.4220576978679521,0.15585351771289174,8.171440021928683,12.313166387338605,19.742944072678725,24.107330112745792,27,12.91859134157918,11.794163725407195,0
1.25,29,29,29,-0.48182096873138536,0.1173744007660506,12.739437167397533,23.50495074178334,25.62797726785332,35.438559723698106,25,14.736048336859207,11.933608981914764,0
