day,med,lo,hi
1,37.28396925893205,20.99937470044957,52.23879068055795
2,3.0338944018287988,2.4440514656889936,3.6834352779270834
3,5.066276274585384,3.8139916955587134,6.419225192126376
4,4.593252663653564,3.617465274966963,5.782554445817966
5,6.498676061767868,4.971985716618721,8.319936728436936
6,5.202687323138129,3.5485257949324542,6.158662191624253
7,11.039259096826955,7.934441778392622,13.500104204046004
8,32.46452376807393,18.43725452035932,49.65992475094412
9,7.76450890447949,5.879711513182811,9.992446775257193
10,1.2469410568053463,0.9366760539769621,1.5028279756979457
11,1.0315526865630051,0.7563381868493301,1.3492929086364276
12,1.8970175637018893,1.458124408835742,2.368425382648307
13,3.626065662757061,2.691729445817499,4.5778168115995514
14,2.3493449009116354,1.7328675554693016,2.825452730215788
15,2.1298386706686205,1.7069572719636077,2.5764478329903095
16,2.4058827888987055,1.8960126370278283,3.1282323897625566
17,1.1806281086646289,0.939552845280322,1.4639008879021205
18,1.0199265043930312,0.8355478549035258,1.233994917422533
19,1.8867712408767336,1.603726598159735,2.224020655629549
20,1.2413563959501794,1.0390481716846074,1.4774178356305483
21,2.4075318998294617,1.666011013248196,3.205954168003872
22,2.2538257003828015,1.826802798126807,2.8549039187745042
23,4.855183644210639,3.615994974387607,6.598469036327365
24,2.183256462478509,1.7544115912294311,2.6833837901095006
25,5.067758313313879,3.933264344413814,6.255202729507118
26,11.472285987392087,7.940369715305643,14.111602797843785
27,10.065403492696396,6.111997873623108,14.60674539600413
28,12.453598520117321,7.661303042854741,22.55825407022347
29,11.8748765244115,7.980525483855474,16.098665100814944
30,10.335823379939022,7.242261605928235,14.184694482691354
31,7.975140160833284,5.1574331299115235,10.357553015073018
