day,med,lo,hi,ndr
1,35.45669565852734,19.543791917139572,63.931431797380014,69
2,2.9453169300687083,2.37962536369406,3.6654095924976486,100
3,4.938093520608978,3.796080887312455,6.119679093171627,100
4,4.499929285334476,3.5849197338011276,5.758653591716456,100
5,6.279930182408368,4.838579439821747,8.318674708987848,100
6,5.256738418295544,3.521289486711646,6.349656226762111,100
7,10.993762258375753,7.790675594747159,13.73362019210765,100
8,36.04370065889873,18.07599766505003,62.932346410896685,94
9,7.674100627940911,5.735631272653534,10.250303653379138,100
10,1.157387115630589,0.8768731538553616,1.4092129592988287,100
11,1.0246950686277994,0.7437710772965666,1.3935880211035325,100
12,1.8636263434834361,1.449763887888216,2.467892530459546,100
13,3.8479317002177176,2.6312754729038943,4.926934602302725,100
14,2.3351801543163653,1.7276042085529084,2.836241508845602,100
15,2.1311838583259295,1.6925186228564388,2.605982819611969,100
16,2.398421262742385,1.8732809094477463,3.006040757535045,100
17,1.160847440017108,0.9302872854824396,1.4436396136055232,100
18,1.0361018224454432,0.8208589429897682,1.2243940404469649,100
19,1.8266097085175712,1.5788363069916886,2.1395562539789075,100
20,1.199132098049801,0.9952199089121536,1.4198704742057229,100
21,2.3775583669683624,1.6416170845239642,3.152016469390519,100
22,2.197397289715396,1.7671439087262595,2.751081683840324,100
23,4.670077041983712,3.657616111237204,6.604341066204198,100
24,2.141455747904242,1.726680483598951,2.639060306201257,100
25,5.008692201802399,3.8604678048999155,6.170643796601148,100
26,12.081264854402821,7.868519222576237,19.06246091564145,100
27,10.45667680616124,5.805627903337095,16.165953291216354,100
28,12.359110192360397,7.581479829766747,30.5939990008022,100
29,12.29982829934806,7.959303818310272,18.006429282081598,100
30,10.70465994716577,7.222310970813674,15.507980481465859,100
31,8.233373827733676,5.125567332000168,11.628847687321006,100
