regime,day,round,gamma_t,gamma_hat,gmv_ratio,gamma_error,converged
noiseless,1,1,0.0,-0.25257596950068756,0.8332027867294577,0.25257596950068756,True
noiseless,1,2,-2.5,-0.25257596950068756,1.1599222531055884,2.2474240304993125,True
noiseless,1,3,-1.25,-0.25257596950068756,1.1729321432724602,0.9974240304993125,True
noiseless,1,4,-0.625,-0.25257596950068756,1.1256842682667725,0.37242403049931244,True
noiseless,1,5,-0.3125,-0.25257596950068756,1.027415414846024,0.05992403049931244,True
noiseless,1,6,-0.15625,-0.25257596950068756,0.9451620759419835,0.09632596950068756,True
noiseless,1,7,-0.234375,-0.25257596950068756,0.9905342647426981,0.018200969500687558,True
noiseless,1,8,-0.2734375,-0.25257596950068756,1.0103257681861566,0.020861530499312442,True
noiseless,1,9,-0.25390625,-0.25257596950068756,1.0006751989899145,0.0013302804993124417,True
noiseless,1,10,-0.244140625,-0.25257596950068756,0.9956658150903893,0.008435344500687558,True
noiseless,1,11,-0.2490234375,-0.25257596950068756,0.9981858073229378,0.0035525320006875583,True
noiseless,1,12,-0.25146484375,-0.25257596950068756,0.9994343316548491,0.0011111257506875583,True
noiseless,2,1,0.0,-0.25835098281424473,0.7410459081817848,0.25835098281424473,True
noiseless,2,2,-2.5,-0.25835098281424473,1.3155375390817123,2.2416490171857553,True
noiseless,2,3,-1.25,-0.25835098281424473,1.3178317207407484,0.9916490171857553,True
noiseless,2,4,-0.625,-0.25835098281424473,1.2382607017514629,0.36664901718575527,True
noiseless,2,5,-0.3125,-0.25835098281424473,1.049832645709908,0.054149017185755266,True
noiseless,2,6,-0.15625,-0.25835098281424473,0.8977095083680215,0.10210098281424473,True
noiseless,2,7,-0.234375,-0.25835098281424473,0.9761088952923676,0.023975982814244734,True
noiseless,2,8,-0.2734375,-0.25835098281424473,1.0149722304356985,0.015086517185755266,True
noiseless,2,9,-0.25390625,-0.25835098281424473,0.9955794108320033,0.004444732814244734,True
noiseless,2,10,-0.263671875,-0.25835098281424473,1.0052863476656508,0.005320892185755266,True
noiseless,2,11,-0.2587890625,-0.25835098281424473,1.0004354090927048,0.000438079685755266,True
noiseless,2,12,-0.25634765625,-0.25835098281424473,0.9980080296857026,0.002003326564244734,True
noiseless,3,1,0.0,-0.24097572010262333,0.7557184659067102,0.24097572010262333,True
noiseless,3,2,-2.5,-0.24097572010262333,1.2950822429354933,2.2590242798973765,True
noiseless,3,3,-1.25,-0.24097572010262333,1.2971162625680945,1.0090242798973768,True
noiseless,3,4,-0.625,-0.24097572010262333,1.2247616645165957,0.38402427989737664,True
noiseless,3,5,-0.3125,-0.24097572010262333,1.063555212830281,0.07152427989737667,True
noiseless,3,6,-0.15625,-0.24097572010262333,0.91529545480714,0.08472572010262333,True
noiseless,3,7,-0.234375,-0.24097572010262333,0.9934970035837646,0.006600720102623331,True
noiseless,3,8,-0.2734375,-0.24097572010262333,1.0316827318363881,0.03246177989737667,True
noiseless,3,9,-0.25390625,-0.24097572010262333,1.012681537766426,0.01293052989737667,True
noiseless,3,10,-0.244140625,-0.24097572010262333,1.0031110430130723,0.003164904897376669,True
noiseless,3,11,-0.2392578125,-0.24097572010262333,0.9983093225173,0.0017179076026233309,True
noiseless,3,12,-0.24169921875,-0.24097572010262333,1.0007115255820893,0.0007234986473766691,True
noiseless,4,1,0.0,-0.23591710650216313,0.7575174145741722,0.23591710650216313,True
noiseless,4,2,-2.5,-0.23591710650216313,1.3068011874663703,2.2640828934978368,True
noiseless,4,3,-1.25,-0.23591710650216313,1.3083995658585326,1.0140828934978368,True
noiseless,4,4,-0.625,-0.23591710650216313,1.2391975183484127,0.38908289349783687,True
noiseless,4,5,-0.3125,-0.23591710650216313,1.0705064828313342,0.07658289349783687,True
noiseless,4,6,-0.15625,-0.23591710650216313,0.919153529326776,0.07966710650216313,True
noiseless,4,7,-0.234375,-0.23591710650216313,0.9984562018835619,0.001542106502163132,True
noiseless,4,8,-0.2734375,-0.23591710650216313,1.037235192460896,0.03752039349783687,True
noiseless,4,9,-0.25390625,-0.23591710650216313,1.0179329218512896,0.017989143497836868,True
noiseless,4,10,-0.244140625,-0.23591710650216313,1.0082152916636609,0.008223518497836868,True
noiseless,4,11,-0.2392578125,-0.23591710650216313,1.003340793876279,0.003340705997836868,True
noiseless,4,12,-0.23681640625,-0.23591710650216313,1.0008997426914774,0.0008992997478368681,True
noiseless,5,1,0.0,-0.27738564708859065,0.7470113985282667,0.27738564708859065,True
noiseless,5,2,-2.5,-0.27738564708859065,1.2597742305025876,2.2226143529114095,True
noiseless,5,3,-1.25,-0.27738564708859065,1.2620256121822788,0.9726143529114093,True
noiseless,5,4,-0.625,-0.27738564708859065,1.188672340713305,0.34761435291140935,True
noiseless,5,5,-0.3125,-0.27738564708859065,1.0271142169365233,0.03511435291140935,True
noiseless,5,6,-0.15625,-0.27738564708859065,0.8921957190533408,0.12113564708859065,True
noiseless,5,7,-0.234375,-0.27738564708859065,0.962439716985866,0.04301064708859065,True
noiseless,5,8,-0.2734375,-0.27738564708859065,0.9965906503588633,0.003948147088590648,True
noiseless,5,9,-0.29296875,-0.27738564708859065,1.0122809701476627,0.015583102911409352,True
noiseless,5,10,-0.283203125,-0.27738564708859065,1.0047034771391687,0.005817477911409352,True
noiseless,5,11,-0.2783203125,-0.27738564708859065,1.0007784267163453,0.0009346654114093522,True
noiseless,5,12,-0.27587890625,-0.27738564708859065,0.9986999909973177,0.0015067408385906478,True
noiseless,6,1,0.0,-0.27624406920702677,0.7417253407318622,0.27624406920702677,True
noiseless,6,2,-2.5,-0.27624406920702677,1.267632930997214,2.223755930792973,True
noiseless,6,3,-1.25,-0.27624406920702677,1.2674544198939104,0.9737559307929733,True
noiseless,6,4,-0.625,-0.27624406920702677,1.1974259585524927,0.34875593079297323,True
noiseless,6,5,-0.3125,-0.27624406920702677,1.0293177613978186,0.036255930792973234,True
noiseless,6,6,-0.15625,-0.27624406920702677,0.8899836390540883,0.11999406920702677,True
noiseless,6,7,-0.234375,-0.27624406920702677,0.9622303609429543,0.041869069207026766,True
noiseless,6,8,-0.2734375,-0.27624406920702677,0.9974928217223326,0.0028065692070267656,True
noiseless,6,9,-0.29296875,-0.27624406920702677,1.0138215135415987,0.016724680792973234,True
noiseless,6,10,-0.283203125,-0.27624406920702677,1.0059179134188936,0.006959055792973234,True
noiseless,6,11,-0.2783203125,-0.27624406920702677,1.0018221041899629,0.0020762432929732344,True
noiseless,6,12,-0.27587890625,-0.27624406920702677,0.9996739795787258,0.0003651629570267656,True
noiseless,7,1,0.0,-0.31379454619907793,0.7494705633758495,0.31379454619907793,True
noiseless,7,2,-2.5,-0.31379454619907793,1.2010325743480303,2.186205453800922,True
noiseless,7,3,-1.25,-0.31379454619907793,1.2028042909700922,0.9362054538009221,True
noiseless,7,4,-0.625,-0.31379454619907793,1.1432884862163737,0.31120545380092207,True
noiseless,7,5,-0.3125,-0.31379454619907793,0.999133925011678,0.0012945461990779283,True
noiseless,7,6,-0.46875,-0.31379454619907793,1.0881316313947513,0.15495545380092207,True
noiseless,7,7,-0.390625,-0.31379454619907793,1.0477858618124534,0.07683045380092207,True
noiseless,7,8,-0.3515625,-0.31379454619907793,1.0246298041365833,0.03776795380092207,True
noiseless,7,9,-0.33203125,-0.31379454619907793,1.0120767963354869,0.01823670380092207,True
noiseless,7,10,-0.322265625,-0.31379454619907793,1.0056409555657098,0.008471078800922072,True
noiseless,7,11,-0.3173828125,-0.31379454619907793,1.002395048752999,0.0035882663009220717,True
noiseless,7,12,-0.31494140625,-0.31379454619907793,1.0007663819805035,0.0011468600509220717,True
noiseless,8,1,0.0,-0.42674864263183315,0.7538988333485394,0.42674864263183315,True
noiseless,8,2,-2.5,-0.42674864263183315,1.0975225412377283,2.073251357368167,True
noiseless,8,3,-1.25,-0.42674864263183315,1.101110923665611,0.8232513573681668,True
noiseless,8,4,-0.625,-0.42674864263183315,1.0552170634002718,0.19825135736816685,True
noiseless,8,5,-0.3125,-0.42674864263183315,0.9507541874393445,0.11424864263183315,True
noiseless,8,6,-0.46875,-0.42674864263183315,1.0155515875070709,0.04200135736816685,True
noiseless,8,7,-0.390625,-0.42674864263183315,0.9855695312257902,0.03612364263183315,True
noiseless,8,8,-0.4296875,-0.42674864263183315,1.0011377068374419,0.0029388573681668473,True
noiseless,8,9,-0.41015625,-0.42674864263183315,0.9934741279919063,0.016592392631833153,True
noiseless,8,10,-0.419921875,-0.42674864263183315,0.9973350089692388,0.006826767631833153,True
noiseless,8,11,-0.4248046875,-0.42674864263183315,0.9992448601545252,0.0019439551318331527,True
noiseless,8,12,-0.42724609375,-0.42674864263183315,1.0001929335870379,0.0004974511181668473,True
noiseless,9,1,0.0,-0.35718575140305087,0.7256962989218834,0.35718575140305087,True
noiseless,9,2,-2.5,-0.35718575140305087,1.1891250025641826,2.1428142485969492,True
noiseless,9,3,-1.25,-0.35718575140305087,1.189255954893991,0.8928142485969491,True
noiseless,9,4,-0.625,-0.35718575140305087,1.121245793083471,0.26781424859694913,True
noiseless,9,5,-0.3125,-0.35718575140305087,0.9703951867749371,0.044685751403050866,True
noiseless,9,6,-0.46875,-0.35718575140305087,1.0621306227076228,0.11156424859694913,True
noiseless,9,7,-0.390625,-0.35718575140305087,1.0202813884620447,0.033439248596949134,True
noiseless,9,8,-0.3515625,-0.35718575140305087,0.996414310283115,0.005623251403050866,True
noiseless,9,9,-0.37109375,-0.35718575140305087,1.0087471275346447,0.013907998596949134,True
noiseless,9,10,-0.361328125,-0.35718575140305087,1.0026211637467854,0.004142373596949134,True
noiseless,9,11,-0.3564453125,-0.35718575140305087,0.9995304860649425,0.0007404389030508662,True
noiseless,9,12,-0.35888671875,-0.35718575140305087,1.0010775922821302,0.0017009673469491338,True
noiseless,10,1,0.0,-0.36847071530950687,0.6888546106694505,0.36847071530950687,True
noiseless,10,2,-2.5,-0.36847071530950687,1.2713260914061075,2.131529284690493,True
noiseless,10,3,-1.25,-0.36847071530950687,1.26941851556982,0.8815292846904932,True
noiseless,10,4,-0.625,-0.36847071530950687,1.1609423147124882,0.25652928469049313,True
noiseless,10,5,-0.3125,-0.36847071530950687,0.9542044762293963,0.05597071530950687,True
noiseless,10,6,-0.46875,-0.36847071530950687,1.0726785492855206,0.10027928469049313,True
noiseless,10,7,-0.390625,-0.36847071530950687,1.0166013716156248,0.02215428469049313,True
noiseless,10,8,-0.3515625,-0.36847071530950687,0.9866892152995071,0.01690821530950687,True
noiseless,10,9,-0.37109375,-0.36847071530950687,1.0019732872866653,0.002623034690493131,True
noiseless,10,10,-0.361328125,-0.36847071530950687,0.9945328398674728,0.007142590309506869,True
noiseless,10,11,-0.3662109375,-0.36847071530950687,0.9982958602121516,0.002259777809506869,True
noiseless,10,12,-0.36865234375,-0.36847071530950687,1.0001366747002298,0.0001816284404931312,True
noiseless,11,1,0.0,-0.34138815926341093,0.6963094985519058,0.34138815926341093,True
noiseless,11,2,-2.5,-0.34138815926341093,1.2883008595414638,2.1586118407365893,True
noiseless,11,3,-1.25,-0.34138815926341093,1.2862410078084443,0.9086118407365891,True
noiseless,11,4,-0.625,-0.34138815926341093,1.1902750670825861,0.28361184073658907,True
noiseless,11,5,-0.3125,-0.34138815926341093,0.9745222416048684,0.02888815926341093,True
noiseless,11,6,-0.46875,-0.34138815926341093,1.1040217918680253,0.12736184073658907,True
noiseless,11,7,-0.390625,-0.34138815926341093,1.041742347063503,0.04923684073658907,True
noiseless,11,8,-0.3515625,-0.34138815926341093,1.0089388408963802,0.010174340736589071,True
noiseless,11,9,-0.33203125,-0.34138815926341093,0.9917641750710223,0.009356909263410929,True
noiseless,11,10,-0.341796875,-0.34138815926341093,1.0003596459603794,0.00040871573658907145,True
noiseless,11,11,-0.3369140625,-0.34138815926341093,0.9960624957443391,0.0044740967634109285,True
noiseless,11,12,-0.33935546875,-0.34138815926341093,0.9982112223881912,0.0020326905134109285,True
noiseless,12,1,0.0,-0.3575074286709702,0.6996855168888377,0.3575074286709702,True
noiseless,12,2,-2.5,-0.3575074286709702,1.2535405514581888,2.1424925713290297,True
noiseless,12,3,-1.25,-0.3575074286709702,1.251657248396746,0.8924925713290298,True
noiseless,12,4,-0.625,-0.3575074286709702,1.1626768918958446,0.2674925713290298,True
noiseless,12,5,-0.3125,-0.3575074286709702,0.9635269764889869,0.045007428670970184,True
noiseless,12,6,-0.46875,-0.3575074286709702,1.0808704023704496,0.11124257132902982,True
noiseless,12,7,-0.390625,-0.3575074286709702,1.0252619487394923,0.033117571329029816,True
noiseless,12,8,-0.3515625,-0.3575074286709702,0.9952357541066162,0.005944928670970184,True
noiseless,12,9,-0.37109375,-0.3575074286709702,1.0105656778821783,0.013586321329029816,True
noiseless,12,10,-0.361328125,-0.3575074286709702,1.0030568646115485,0.0038206963290298157,True
noiseless,12,11,-0.3564453125,-0.3575074286709702,0.9991493840246864,0.0010621161709701843,True
noiseless,12,12,-0.35888671875,-0.3575074286709702,1.0011043166196862,0.0013792900790298157,True
noiseless,13,1,0.0,-0.4121781174245887,0.6919200439617395,0.4121781174245887,True
noiseless,13,2,-2.5,-0.4121781174245887,1.2135443112328874,2.0878218825754113,True
noiseless,13,3,-1.25,-0.4121781174245887,1.212205391834244,0.8378218825754113,True
noiseless,13,4,-0.625,-0.4121781174245887,1.1088139431282091,0.2128218825754113,True
noiseless,13,5,-0.3125,-0.4121781174245887,0.9317476491486067,0.09967811742458871,True
noiseless,13,6,-0.46875,-0.4121781174245887,1.0346777013579187,0.05657188257541129,True
noiseless,13,7,-0.390625,-0.4121781174245887,0.9861623439893897,0.021553117424588708,True
noiseless,13,8,-0.4296875,-0.4121781174245887,1.0109050490229352,0.017509382575411292,True
noiseless,13,9,-0.41015625,-0.4121781174245887,0.9987242556189707,0.002021867424588708,True
noiseless,13,10,-0.419921875,-0.4121781174245887,1.0048474912655372,0.007743757575411292,True
noiseless,13,11,-0.4150390625,-0.4121781174245887,1.0017950016935036,0.002860945075411292,True
noiseless,13,12,-0.41259765625,-0.4121781174245887,1.0002637911355483,0.00041953882541129195,True
noiseless,14,1,0.0,-0.37907121279538486,0.6956796437879303,0.37907121279538486,True
noiseless,14,2,-2.5,-0.37907121279538486,1.2371443820939554,2.120928787204615,True
noiseless,14,3,-1.25,-0.37907121279538486,1.2352425091500687,0.8709287872046152,True
noiseless,14,4,-0.625,-0.37907121279538486,1.1376157613971554,0.24592878720461514,True
noiseless,14,5,-0.3125,-0.37907121279538486,0.949560810498308,0.06657121279538486,True
noiseless,14,6,-0.46875,-0.37907121279538486,1.059561320088899,0.08967878720461514,True
noiseless,14,7,-0.390625,-0.37907121279538486,1.0080466118161888,0.01155378720461514,True
noiseless,14,8,-0.3515625,-0.37907121279538486,0.9797609962751769,0.02750871279538486,True
noiseless,14,9,-0.37109375,-0.37907121279538486,0.9943396803654203,0.00797746279538486,True
noiseless,14,10,-0.380859375,-0.37907121279538486,1.0012618334995376,0.0017881622046151402,True
noiseless,14,11,-0.3759765625,-0.37907121279538486,0.9978148907740347,0.00309465029538486,True
noiseless,14,12,-0.37841796875,-0.37907121279538486,0.9995389625867477,0.0006532440453848598,True
noiseless,15,1,0.0,-0.3548115795207359,0.7010076188591563,0.3548115795207359,True
noiseless,15,2,-2.5,-0.3548115795207359,1.2511556298171738,2.145188420479264,True
noiseless,15,3,-1.25,-0.3548115795207359,1.2488651462197031,0.8951884204792642,True
noiseless,15,4,-0.625,-0.3548115795207359,1.157714611310112,0.2701884204792641,True
noiseless,15,5,-0.3125,-0.3548115795207359,0.9657756135961785,0.04231157952073589,True
noiseless,15,6,-0.46875,-0.3548115795207359,1.0786701797391007,0.11393842047926411,True
noiseless,15,7,-0.390625,-0.3548115795207359,1.026654626996311,0.03581342047926411,True
noiseless,15,8,-0.3515625,-0.3548115795207359,0.9974501719467868,0.003249079520735887,True
noiseless,15,9,-0.37109375,-0.3548115795207359,1.0124673725821256,0.016282170479264113,True
noiseless,15,10,-0.361328125,-0.3548115795207359,1.0051055379644513,0.006516545479264113,True
noiseless,15,11,-0.3564453125,-0.3548115795207359,1.001281424168938,0.001633732979264113,True
noiseless,15,12,-0.35400390625,-0.3548115795207359,0.9993663499184545,0.0008076732707358869,True
noiseless,16,1,0.0,-0.37156849693818117,0.6973691212226681,0.37156849693818117,True
noiseless,16,2,-2.5,-0.37156849693818117,1.24127101603037,2.128431503061819,True
noiseless,16,3,-1.25,-0.37156849693818117,1.239460541505208,0.8784315030618188,True
noiseless,16,4,-0.625,-0.37156849693818117,1.1455001550769626,0.25343150306181883,True
noiseless,16,5,-0.3125,-0.37156849693818117,0.9540193465029937,0.05906849693818117,True
noiseless,16,6,-0.46875,-0.37156849693818117,1.0659653177565815,0.09718150306181883,True
noiseless,16,7,-0.390625,-0.37156849693818117,1.0137403363339295,0.01905650306181883,True
noiseless,16,8,-0.3515625,-0.37156849693818117,0.9847773990878003,0.02000599693818117,True
