n,gamma_ms,scalarfi_ms,ms_ms,newton_ms
500,0.0959169992711395,0.14891700266161934,16.72162499744445,109.90266700537177
2000,0.1841670018620789,0.21841599664185196,296.9419170040055,4356.781376998697
8000,0.36558300053002313,0.7624999998370185,6249.881919000472,
50000,2.333042000827845,4.138332995353267,,
