floor_mult,n_days,cbn_feasible,gamma_feasible,unif_feasible,median_gamma_star,iqr_low_gamma_star,iqr_hi_gamma_star,mean_gap_gamma,median_gap_gamma,mean_gap_unif,median_gap_unif,gamma_dominates_count,mean_gap_advantage_pp,median_gap_advantage_pp
1.05,31,31,31,31,-0.2458042133468533,-0.26887323638646343,-0.22763664563578562,3.921424002656836,2.4849902625266616,12.735312520288076,10.989890837746778,31,8.81388851763124,8.504900575220116
1.1,31,31,31,31,-0.31091243842019983,-0.336206760548478,-0.285577888570296,6.302578927633685,3.775139224580273,16.02196844424912,13.280999359175564,31,9.719389516615433,9.505860134595292
1.15,31,31,31,31,-0.37174953512594133,-0.42291133277602444,-0.343531109247797,9.602522586187147,5.571190155787219,21.776895494400218,15.928065107991559,31,12.174372908213071,10.35687495220434
1.2,31,31,29,29,-0.43374983624588814,-0.5155498632243666,-0.40250109989029276,15.887669757654516,8.01312453158326,18.426249602305937,19.647511851504813,29,2.538579844651421,11.634387319921553
1.25,31,31,29,29,-0.5093666238280761,-0.6767572165070487,-0.4754061578210763,22.28421389896005,11.566902147399805,24.949271096946525,25.591259537572913,29,2.6650571979864743,14.024357390173108
