market,N,sigma_log_alpha,mu_log_alpha,mean_alpha,inside_share,ebar_BN,gap_gamma,gap_MS,gap_uniform,iter_gamma,iter_MS,iter_BN,time_gamma,time_MS,time_BN,pi_BN
0,60,0.20997829142878865,1.0182703380778497,2.9126488983887953,0.1707334654011554,0.21216194359320645,0.027177635790262885,1.653902173820467e-16,0.015931739758732757,90,9,7,0.005016250001062872,0.0010258330003125593,0.02222420800171676,0.08390936312609809
1,60,0.13274985954262203,0.9793308751988098,2.6961923633411025,0.1659429625304473,0.1774193713456289,0.01941109537191813,0.0,0.020411949463851574,177,6,7,0.00961095799721079,0.0007153329970606137,0.023297125000681262,0.07770752679926385
2,60,0.09719516170188729,1.197612168820077,3.3026142509419416,0.10313116762260427,0.10927448425629219,0.006588831114350279,0.0,0.020977310277568047,53,6,7,0.0029946249997010455,0.0007552080023742747,0.02496233400233905,0.03594993991054953
3,60,0.10911509589467923,1.363620191313613,3.865337720082974,0.13676901673980885,0.14798546139382102,0.012807869610491816,3.249739201128326e-16,0.01645005233070707,35,6,7,0.001921291997859953,0.0007889999978942797,0.02491270800237544,0.04270431240450316
4,60,0.06477672771764546,0.9493543827675427,2.6071337684783367,0.20461198452320412,0.20670204061821143,0.02883668124014033,0.0,0.020766576047102903,391,5,7,0.021105916999658803,0.0006419999990612268,0.020496542001637863,0.09966616130035746
5,60,0.08655165035441044,1.157088367131675,3.1470935774537736,0.09179587197087791,0.09540376371534927,0.005019187467946306,2.1149818971227385e-16,0.02502876358505699,69,5,7,0.004118415999982972,0.0006732090005243663,0.02635029100201791,0.03280828981726525
6,60,0.11690654680678385,1.2577871845931,3.520235906590776,0.19507388677113488,0.21469934153927042,0.028913404132308147,0.0,0.015222455970798134,48,7,7,0.002654291998624103,0.0007920420030131936,0.026540040998952463,0.07324542582644561
7,60,0.12068129641507426,1.2261578747992712,3.405456929129218,0.07275473773042157,0.07724288910402657,0.003104087889749129,1.4617241070016772e-16,0.022562714585494616,49,5,7,0.0030736250009795185,0.0005907919985475019,0.024028499999985797,0.023735306377824096
8,60,0.10298576261706062,0.9594057923503431,2.606797174722872,0.14044443781078308,0.14588624586183646,0.0126943539701757,0.0,0.022657626745927084,284,6,7,0.01610616600009962,0.0006956670004001353,0.022084000000177184,0.06439799874955453
9,60,0.15300699222907144,1.1510745099350275,3.092195005019243,0.18301260934188798,0.2008262064261244,0.025467347637584167,1.7921299096524546e-16,0.016916841772308202,79,7,7,0.004235542000969872,0.0008519589973730035,0.022285707997070858,0.07743739855614462
10,60,0.27327257808203653,0.9268256501114819,2.6659649106428294,0.173188094306433,0.2278078727186396,0.03247409517527762,0.0,0.016267153898888522,154,10,7,0.008221708001656225,0.0011644580008578487,0.019608040998718934,0.09981827503642941
11,60,0.2664681283634534,1.3707503248484036,4.047264283474005,0.09476370351349596,0.1352337361609336,0.009255680442010649,0.0,0.019544876359718518,36,8,7,0.0019406249994062819,0.0009085410019906703,0.028428292000171496,0.031591208994861
