day,ebar,S,R_obs,R_max,cap_gamma,cap_unif,phi_max_gamma,phi_max_unif,phi_max_fi,g_peak,conv_all
1,0.3333263890335619,0.33333333333333337,21.56185973354999,34.65011420993433,0.7038997942561669,0.7210284777618766,1.1311736818960283,1.1586996396321863,1.6070095361959513,-0.5742387305632635,True
8,0.27369221474552613,0.2736997802152016,19.93153391039863,30.465640570292955,0.7575822339936075,0.7824090571953264,1.1579755048981684,1.195923666618485,1.5285145993905915,-0.7513570328058331,True
28,0.22341201224974477,0.22342010145516283,19.16732445861068,33.60628841686806,0.7540534134931793,0.7660993207363834,1.3220904435721366,1.3432106700248223,1.7533113966655298,-1.1070675803551615,True
7,0.1976000499989584,0.19760840807058114,14.152494609543453,25.61358038762709,0.7476488291386022,0.7747181009826369,1.3531157520415844,1.4021064769660916,1.809827955726977,-1.0456938581246846,True
29,0.18432949313555969,0.18433798943783006,14.869358457548207,25.81363035317287,0.7651812911882999,0.8005937377366188,1.3283765443068893,1.3898535614700442,1.7360285197825038,-1.1447324806182189,True
27,0.18128788983562844,0.18129641782027645,15.83618001520786,27.295939325313316,0.7787613620902787,0.8074961837328867,1.3423074799668213,1.3918360877072677,1.7236441679180443,-1.2942672982744927,True
30,0.18021499552092665,0.1802235346812079,14.20080997468829,24.710408522510093,0.7748818858610171,0.8071327744040371,1.3483490019546625,1.4044678171864997,1.7400703598283653,-1.2239401593043318,True
23,0.17818378783775338,0.17819234815578677,13.477771111319433,23.503526282339177,0.8448266547644828,0.8395944725838624,1.4732707151853262,1.4641464519536322,1.7438733814524807,-1.3702096683645515,True
9,0.17391304347826086,0.17392164828182452,12.877859025238793,23.472413361180628,0.7698751933420958,0.799125821370495,1.4032479109476386,1.4565628937263067,1.822695318777601,-1.1716157623120405,True
31,0.16735068019416263,0.16735935335354105,14.72267366644792,26.861532726440945,0.7728229010716844,0.8040219635034613,1.4100161505439774,1.466938870936492,1.8245009931624545,-1.317567953931643,True
26,0.16365284056582152,0.16366155224315904,13.070756122204514,24.17823949757879,0.7257314726988501,0.7758986769922926,1.342455569807074,1.4352546909130257,1.8497965436372084,-1.157817990316984,True
5,0.16354867606924858,0.16355738883159904,11.636434278095477,22.90679755953571,0.7520034314514427,0.7868917580793245,1.4803495604113657,1.5490286605683814,1.9685409647056282,-1.14724629808693,True
25,0.16110081039978336,0.1611095486599377,12.522223993000217,24.057365225424594,0.7868999683432861,0.8085780267122955,1.5117713870069371,1.5534186988464995,1.9211735262739582,-1.3173506933359624,True
3,0.1526947355263432,0.15270356134704122,11.604639750841118,23.84076414477374,0.7522647894474767,0.7929221449569962,1.545465245341653,1.6289923900237977,2.0544165658434794,-1.1019696349773322,True
6,0.15194475115101772,0.15195358478380885,11.779113048550565,23.499593360440993,0.7633910154088053,0.8028514693038507,1.5229821093642133,1.6017065953700678,1.9950223131046907,-1.18421026147034,True
4,0.14829899377096312,0.1483078653792069,10.720395195983462,22.573115719415483,0.7535690894878609,0.7885437931650382,1.5867327601838055,1.660376317060606,2.105623468794583,-1.162765200095146,True
22,0.13213266390283535,0.13214170390508628,10.163544264241745,21.919876916460122,0.810046969403489,0.8175054419004388,1.7470411309514495,1.763126936736066,2.156715841104812,-1.6504779957767353,True
2,0.1282369117310056,0.12824599231274023,9.126902075976796,21.000886108063828,0.7495908287841428,0.781063395767956,1.7247990053909044,1.7972169835014817,2.3009873375699863,-1.3825230131739739,True
24,0.12412241411637258,0.12413153755611804,10.08180067289564,21.879700223664155,0.8150216468463666,0.8261696289810663,1.7687742385878613,1.7929677844751297,2.170217497206279,-1.6909137961290834,True
21,0.11925793212641403,0.11926710623626344,9.592985115048494,21.202809626974954,0.8098292978012708,0.8222779628275022,1.7899179687761197,1.8174325194082388,2.21024106393266,-1.7591247574609703,True
13,0.11915376762984105,0.1191629428247034,10.48943293438747,22.052262108922434,0.7735329116146283,0.8060015069087542,1.6262223728874838,1.694482113734609,2.102331198155487,-1.7107526909832789,True
16,0.11131018103789504,0.11131943793423121,9.027274668499945,20.61741048473286,0.7762810368303278,0.7963361575389207,1.7729497966526833,1.8187537265378293,2.2839019794840074,-1.8544184594542403,True
14,0.11027895252182247,0.11028822015978668,9.24709279918336,20.732373158489903,0.778542818250989,0.8045480156237667,1.7455259267288152,1.8038306791197745,2.2420422946680976,-1.8165995114858535,True
19,0.1100706235286765,0.11007989333666657,8.036042102850955,19.4102279954987,0.7769666958959612,0.7871247127633446,1.87668264043808,1.9012182788598952,2.4153965032876714,-1.7821729304537073,True
12,0.1091748088581488,0.10918408799725009,8.867397893815816,20.113767239941456,0.7964816779417477,0.8158276657434866,1.8066457908887743,1.8505279647046462,2.2682829259267745,-1.878457586931595,True
15,0.10861232057665465,0.10862160557482578,8.987451537972772,20.87064009106835,0.7735790875550148,0.7970458099256456,1.7964036468094808,1.8508980176158385,2.322197789093834,-1.8016636667759853,True
20,0.09915418428782734,0.09916356780517276,7.446643854879536,18.691800995844027,0.8126138123502603,0.8166665387518591,2.039739775788018,2.049912513583132,2.51009734856541,-2.0270927447975784,True
17,0.08925855711339349,0.0892680437069675,7.6061208503900914,19.662139393936428,0.792885612225628,0.81117594296695,2.0496423522152396,2.0969236194565597,2.5850416763925104,-2.134436293704772,True
11,0.08606070706860273,0.08607022697207378,7.43267595804298,19.64765877288652,0.8029108286557067,0.8184391835244356,2.122427787183731,2.163475697719227,2.643416568110382,-2.2228557294486815,True
10,0.08481073310972688,0.08482026603335312,7.150794246013147,18.0922314312875,0.8042346351096398,0.8294700879283441,2.0347948273820196,2.098643070942361,2.5301009662492584,-2.176736296607339,True
18,0.08006083206599864,0.0800704144662146,6.865441913273543,18.267907500746112,0.7891496843153707,0.8095348937488229,2.0998085220769678,2.154050495866544,2.660849473568076,-2.2698351441612,True
