N,n_days,mean_S,median_ebar,mean_ebar,n_ebar_above_03,median_gap_gamma,mean_gap_gamma,median_gap_uniform,mean_gap_uniform,median_iter_gamma,median_iter_MS,gamma_dominates_count
200,31,0.14153185894054998,0.1361565615608453,0.14151973364091508,1,1.235249015997243,1.5460622562856996,5.4552541468449975,5.757244026860872,7.0,-1.0,31
500,31,0.1498877891248694,0.14829899377096312,0.1498789339738218,1,1.6048120076391674,1.6438240123255892,4.772225414990898,5.233684799409223,7.0,-1.0,31
1000,31,0.1569800150601106,0.1531482291211194,0.1569716374715176,1,1.5500664288169594,1.5805316439943773,4.583716350120273,4.965921532690378,6.0,-1.0,31
2000,31,0.16192146884949843,0.15614672835426305,0.16191332299075314,1,1.435031582351558,1.5041811021512816,4.6552022222010825,4.827180499632871,7.0,-1.0,31
