n_days,ebar_median,ebar_max,gap_gamma_mean,gap_gamma_median,gap_gamma_max,gap_uniform_mean,gap_uniform_median,gamma_beats_uniform_pct,gamma_gap_lt_ebar2_pct,time_gamma_mean,time_MS_mean,speedup_gamma_vs_MS,iter_gamma_mean,iter_MS_mean,M_mult,margin,M
31,0.2966010770721138,0.6666597222945595,0.26914119817738097,0.2896348008188294,0.6624184007125671,0.06087004113442258,0.05194154396961403,0.0,0.0,9.936516142906546e-05,0.015095778354729954,151.922244553555,9.516129032258064,125.2258064516129,1.5,0.4,48001.5
31,0.2966010770721138,0.6666597222945595,0.1620241141392438,0.1719317097951622,0.5242136994926332,0.057047623004986184,0.04772853414915796,0.0,0.0,9.132387106458942e-05,0.015259824677242807,167.09568373914192,8.483870967741936,126.64516129032258,1.5,0.5,48001.5
31,0.2966010770721138,0.6666597222945595,0.0989200919279675,0.1007152018936079,0.40015210898758596,0.05592685118392237,0.047717458812823896,32.25806451612903,70.96774193548387,8.454964500420066e-05,0.015387939838547027,181.99886986849572,7.967741935483871,127.70967741935483,1.5,0.6,48001.5
31,0.2966010770721138,0.6666597222945595,0.06215612580995841,0.060404766270374395,0.29979008183093336,0.05601877642033935,0.04800176718346286,51.61290322580645,100.0,8.344870953043292e-05,0.01548768374191094,185.59524561925952,7.774193548387097,128.6451612903226,1.5,0.7,48001.5
31,0.2966010770721138,0.6666597222945595,0.04039834498608678,0.03715136857022021,0.22378616321709244,0.056590921051414576,0.04869591317700395,74.19354838709677,100.0,8.2492258027947e-05,0.015599215677279826,189.0991476072224,7.645161290322581,129.4516129032258,1.5,0.8,48001.5
31,0.22244964922423086,0.4999921876220683,0.19863276694323173,0.20855146310063188,0.5255707603749058,0.054322280993345066,0.04646109090294981,0.0,0.0,9.376774188797666e-05,0.015045737935232013,160.4575052389232,8.806451612903226,124.80645161290323,2.0,0.4,64002.0
31,0.22244964922423086,0.4999921876220683,0.10815229874266707,0.1125433158752153,0.3663863099128054,0.052419500510112495,0.04578408930233215,16.129032258064516,0.0,8.509545149272233e-05,0.015220992483767576,178.86963658767743,8.096774193548388,126.3225806451613,2.0,0.5,64002.0
31,0.22244964922423086,0.4999921876220683,0.06052214577299157,0.06159462067776104,0.2465221129488123,0.052799686820251455,0.04623202721191012,48.38709677419355,29.03225806451613,7.878032245630053e-05,0.01535228335494814,194.8745940138041,7.451612903225806,127.48387096774194,2.0,0.6,64002.0
31,0.22244964922423086,0.4999921876220683,0.03535110266458502,0.03463216320465886,0.165214085386949,0.05395025973833749,0.04750012035599028,83.87096774193549,100.0,7.705287081931132e-05,0.015467669193434806,200.7409851049733,7.225806451612903,128.4516129032258,2.0,0.7,64002.0
31,0.22244964922423086,0.4999921876220683,0.021643600859133985,0.020436543262509887,0.11267374917907803,0.055251124332418626,0.04960264963201721,96.7741935483871,100.0,7.522193581896699e-05,0.015561405322812553,206.87323655513782,7.096774193548387,129.25806451612902,2.0,0.8,64002.0
