day,gamma_hat,delta_gamma,gamma,mu_star,converged,iterations,gmv_miss_pct,profit_change_pct,lagrangian_loss_pct,lagrangian_loss_at0_pct
1,-0.25257596950068756,-0.2,-0.45257596950068757,0.49826030389594655,True,9,7.986795635801838,-38.482560293766376,14.542147446371006,7.566505494433401
1,-0.25257596950068756,-0.1,-0.3525759695006876,0.49826030389594655,True,9,4.342454344399363,-20.50035506797527,11.228562901520132,7.566505494433401
1,-0.25257596950068756,-0.05,-0.30257596950068755,0.49826030389594655,True,9,2.325277906119512,-10.710132778574572,9.444856124434649,7.566505494433401
1,-0.25257596950068756,-0.02,-0.2725759695006876,0.49826030389594655,True,9,0.9910456861644221,-4.427564356130236,8.324692340098476,7.566505494433401
1,-0.25257596950068756,0.0,-0.25257596950068756,0.49826030389594655,True,9,2.14164325244248e-06,0.0,7.566505494433401,7.566505494433401
1,-0.25257596950068756,0.02,-0.23257596950068757,0.49826030389594655,True,9,-1.0424358992127838,4.254482131112973,6.8934234861133685,7.566505494433401
1,-0.25257596950068756,0.05,-0.20257596950068757,0.49826030389594655,True,9,-2.701494280553516,10.295100299058566,6.047900848212608,7.566505494433401
1,-0.25257596950068756,0.1,-0.15257596950068755,0.49826030389594655,True,9,-5.715655574556052,19.3939400132733,5.091316920119137,7.566505494433401
1,-0.25257596950068756,0.2,-0.05257596950068755,0.49826030389594655,True,9,-12.623237114040297,33.613395446348456,4.948397929085903,7.566505494433401
2,-0.25835098281424473,-0.2,-0.45835098281424475,0.3988508467425868,True,6,15.828558841038825,-35.311683662127486,4.441506829331203,0.8235755505622858
2,-0.25835098281424473,-0.1,-0.3583509828142447,0.3988508467425868,True,7,8.796849385146626,-17.752972463807094,2.1272797602938485,0.8235755505622858
2,-0.25835098281424473,-0.05,-0.3083509828142447,0.3988508467425868,True,7,4.629953963408092,-8.725110260620713,1.2760779429479834,0.8235755505622858
2,-0.25835098281424473,-0.02,-0.27835098281424475,0.3988508467425868,True,6,1.9789773891361657,-3.581768100967004,0.9612368043901843,0.8235755505622858
2,-0.25835098281424473,0.0,-0.25835098281424473,0.3988508467425868,True,6,-6.12663427916276e-06,0.0,0.8235755505622858,0.8235755505622858
2,-0.25835098281424473,0.02,-0.23835098281424474,0.3988508467425868,True,6,-1.9921819939091614,3.353758153270878,0.7801365580168289,0.8235755505622858
2,-0.25835098281424473,0.05,-0.20835098281424475,0.3988508467425868,True,6,-4.993245448488833,7.939824978886041,0.8907560448103872,0.8235755505622858
2,-0.25835098281424473,0.1,-0.15835098281424473,0.3988508467425868,True,6,-10.017569543178775,14.407912782632712,1.5329128109324899,0.8235755505622858
2,-0.25835098281424473,0.2,-0.05835098281424472,0.3988508467425868,True,6,-20.07435619191506,23.047576781014147,4.445055286265068,0.8235755505622858
3,-0.24097572010262333,-0.2,-0.4409757201026233,0.41704258771163727,True,7,14.838889795642112,-35.64488493741518,4.882448832069088,1.215032280955724
3,-0.24097572010262333,-0.1,-0.34097572010262334,0.41704258771163727,True,7,8.438709347271029,-18.499096839036092,2.657490159074999,1.215032280955724
3,-0.24097572010262333,-0.05,-0.29097572010262335,0.41704258771163727,True,7,4.736397110378183,-9.91475238203851,1.8546634970348779,1.215032280955724
3,-0.24097572010262333,-0.02,-0.2609757201026233,0.41704258771163727,True,7,1.958127914107759,-3.911634051569235,1.411461953815754,1.215032280955724
3,-0.24097572010262333,0.0,-0.24097572010262333,0.41704258771163727,True,7,-7.700679333745172e-06,0.0,1.215032280955724,1.215032280955724
3,-0.24097572010262333,0.02,-0.22097572010262334,0.41704258771163727,True,7,-1.976093043836731,3.6537484936818294,1.123432870185083,1.215032280955724
3,-0.24097572010262333,0.05,-0.19097572010262331,0.41704258771163727,True,7,-4.969524792540525,8.649830634619528,1.180236067959057,1.215032280955724
3,-0.24097572010262333,0.1,-0.14097572010262333,0.41704258771163727,True,7,-10.020020556160357,15.687209297272656,1.7813716877260841,1.215032280955724
3,-0.24097572010262333,0.2,-0.04097572010262332,0.41704258771163727,True,7,-20.23945906515112,25.01490622555345,4.780874487666839,1.215032280955724
4,-0.23591710650216313,-0.2,-0.43591710650216314,0.40202656680801674,True,7,15.778556999885083,-37.42506857428695,5.36008243823955,1.1015978283192356
4,-0.23591710650216313,-0.1,-0.3359171065021631,0.40202656680801674,True,8,8.90843980936311,-19.068893460435277,2.7364458106097005,1.1015978283192356
4,-0.23591710650216313,-0.05,-0.2859171065021631,0.40202656680801674,True,7,4.897261315054118,-9.79772644902685,1.7445596430165564,1.1015978283192356
4,-0.23591710650216313,-0.02,-0.25591710650216315,0.40202656680801674,True,7,1.9928551066026878,-3.778328616612459,1.285326582756496,1.1015978283192356
4,-0.23591710650216313,0.0,-0.23591710650216313,0.40202656680801674,True,7,-5.550088889196074e-06,0.0,1.1015978283192356,1.1015978283192356
4,-0.23591710650216313,0.02,-0.21591710650216314,0.40202656680801674,True,7,-2.0094880042522076,3.524269838291441,1.0229533268940691,1.1015978283192356
4,-0.23591710650216313,0.05,-0.18591710650216314,0.40202656680801674,True,7,-5.050765477972865,8.333543782385346,1.0997756874338935,1.1015978283192356
4,-0.23591710650216313,0.1,-0.13591710650216313,0.40202656680801674,True,7,-10.17587765770016,15.079693162317302,1.7363712340925088,1.1015978283192356
4,-0.23591710650216313,0.2,-0.03591710650216312,0.40202656680801674,True,6,-20.530457057848814,23.897722343597376,4.8189158193615995,1.1015978283192356
5,-0.27738564708859065,-0.2,-0.47738564708859066,0.476084095782053,True,6,13.060222953312314,-36.69962765248265,4.796238180230006,1.4108811453979049
5,-0.27738564708859065,-0.1,-0.3773856470885907,0.476084095782053,True,7,7.327685605250316,-19.120995584182545,2.829902596552338,1.4108811453979049
5,-0.27738564708859065,-0.05,-0.32738564708859064,0.476084095782053,True,7,3.820752860590194,-9.317297157432455,1.9374975293819285,1.4108811453979049
5,-0.27738564708859065,-0.02,-0.29738564708859067,0.476084095782053,True,7,1.5678475769324167,-3.6652076947528096,1.5752974374159192,1.4108811453979049
5,-0.27738564708859065,0.0,-0.27738564708859065,0.476084095782053,True,7,3.946272404463871e-06,0.0,1.4108811453979049,1.4108811453979049
