day,sku_ID,y_observed,y_pred_mean,y_pred_q05,y_pred_q95,covered
1,0059cabfce,-8.987228070173703,-8.38526665488741,-8.674619528274913,-8.08984976666409,False
1,01c9d91829,-7.808573073832055,-8.205206680927857,-8.427345107301324,-7.970820514903935,False
1,027604c03a,-10.373522431293592,-9.296708884083369,-9.496493180512166,-9.090348615519728,False
1,03c4e04481,-8.987228070173703,-9.330250613386017,-9.562772947616184,-9.098862255895574,False
1,067b673f2b,-5.763364703794462,-5.84043852052138,-6.255241600214104,-5.520304478481354,True
1,068f4481b3,-3.3049246271946253,-4.33302167967195,-4.511374073915667,-4.081965473330659,False
1,08a61ca4e9,-9.680375250733649,-8.909678947639541,-9.134848905265617,-8.675865387781618,False
1,09b82fac47,-8.581762962065538,-7.679752798606805,-7.971832248673883,-7.405360535300645,False
1,0aa7e6b035,-10.373522431293592,-7.6993641415734375,-8.14722740268972,-7.218973044580396,False
1,0b16a50488,-6.403230517741471,-7.103751568834894,-7.497052826327926,-6.71043349555458,False
1,0b2fd9f253,-8.42761228223828,-8.17485622785304,-8.48052990499122,-7.844297668214409,True
1,0bfcedf96d,-7.403107965723891,-9.148606156871992,-9.431853838747637,-8.840938647350281,False
1,0c8653db6f,-5.5736081685129895,-6.603920730793103,-7.051859004857062,-6.197840816753765,False
1,0e0989fb7e,-7.8886157815055915,-8.089779372263456,-8.413908157650507,-7.704683769347745,True
1,0e5f9e5881,-7.600933709053812,-8.409891106413486,-8.755921799178834,-8.121705466410184,False
1,12797fae91,-6.295984987387873,-8.039896792598189,-8.360742834293392,-7.680080630432487,False
1,14dd743b19,-8.581762962065538,-8.033149175771841,-8.312495687969559,-7.76391218910605,False
1,17054160bd,-6.892282341957901,-6.466545648983844,-6.665249172518665,-6.258805521980985,False
1,179cb54d5b,-7.808573073832055,-8.17453728413484,-8.402358903935356,-7.9645587979910575,False
1,17f589d2e0,-6.502321420385702,-7.79528500946684,-8.252954127055553,-7.3335002277055406,False
1,187f5f0e3e,-7.847793786985338,-8.335175206188923,-8.572065151911886,-8.097952316417658,False
1,197bb1c505,-9.968057323185429,-9.430808679917348,-9.684152106688822,-9.132825126222652,False
1,19fa84df76,-9.274910142625483,-8.770478872671935,-9.003283514055308,-8.513182365634217,False
1,1a2362c248,-5.070217523234517,-5.462561409114107,-5.847623813396317,-5.068873613385254,True
1,1b3f5d4d21,-6.313079420747173,-8.625461564075719,-8.862809683891776,-8.392153651888503,False
1,1d3b8e84d1,-7.632682407368391,-7.3693987616776,-7.649153119387923,-7.090744127576292,True
1,1d5ffa8485,-6.7626045186493675,-7.2707183941000615,-7.666098348892178,-6.894708309769318,False
1,2096e81519,-8.42761228223828,-8.705875640988452,-8.924375684066703,-8.493858143568364,False
1,20dfdf27af,-8.070937338299547,-7.101251854547147,-7.289396385147973,-6.917248877826857,False
1,213fdcf150,-9.274910142625483,-8.80309259026053,-9.117254776682612,-8.383552457417462,False
1,2189b70880,-7.35309754514923,-8.312462882912119,-8.656279429543781,-8.041153270357826,False
