floor_mult,day,R_observed,R_target,mu_star_cbn,gamma_star_tuned,m_star_unif,pi_cbn,pi_gamma_tuned,pi_unif_tuned,gap_gamma_pct,gap_unif_pct,cbn_meets_floor,gamma_meets_floor,unif_meets_floor
1.05,1,2070003.2200000002,2173503.3810000005,0.4459545895725033,-0.2138188164092649,0.24107710296951632,757145.4793737005,601145.3828111753,523981.898340402,20.603714981111175,30.795083294450613,True,True,True
1.05,2,876209.98,920020.479,0.3325029181699786,-0.19228479693776734,0.2688490263535864,271806.51353340724,266453.5068862595,247346.62047720014,1.9694180899347116,8.999009162155632,True,True,True
1.05,3,1114080.23,1169784.2415,0.35228741076165754,-0.17689698948182891,0.26797713281582625,346300.86818736896,335844.7884171192,313475.4293359853,3.0193628520135363,9.478878589938509,True,True,True
1.05,4,1029190.1,1080649.605,0.3404779628283398,-0.17393600795388547,0.2687976130027601,318452.22426584235,309838.77487562754,290476.03468859615,2.704785438403578,8.785050769151423,True,True,True
1.05,5,1117132.6,1172989.2300000002,0.4047596817714898,-0.20811980193984544,0.2652465791825776,344456.6962266692,331450.2617770919,311131.4629470944,3.775927305828432,9.674723599405704,True,True,True
1.05,6,1130830.1900000002,1187371.6995000003,0.38967129420422614,-0.20311761495964314,0.2666513548995909,346557.7034750003,336394.2068190236,316614.28938621574,2.932699678600524,8.64023906799249,True,True,True
1.05,7,1358681.94,1426616.037,0.47052804070826404,-0.22771858675642992,0.2600853258194511,433323.2022507897,407234.4694531197,371041.8967608712,6.02061755801641,14.372944990347548,True,True,True
1.05,8,1913487.05,2009161.4025,0.6166354267973732,-0.27201385426339025,0.2438492808487296,653358.6840759008,551027.9476271096,489932.5668037924,15.662260094319562,25.01323105596362,True,True,True
1.05,9,1236313.1,1298128.7550000001,0.4801314416023946,-0.24278107358776377,0.26025913162273556,400507.51143884455,382614.3450615342,337849.8625090441,4.4676231696699515,15.64456274607672,True,True,True
1.05,10,686497.7,720822.585,0.3750208612920765,-0.26666657660204646,0.26717169758967424,211801.16033399288,210160.92901306043,192583.41210278845,0.7744203659441433,9.073485811361767,True,True,True
1.05,11,713559.1900000001,749237.1495,0.3466344514928181,-0.2458042133468533,0.2683550646511684,222201.03129725298,220728.96485098018,201061.58369277447,0.6624930756075211,9.513658636533906,True,True,True
1.05,12,851296.8,893861.6400000001,0.397501008234664,-0.25569680277538526,0.26624400605951093,262634.9545545744,259579.35552682672,237985.30400655238,1.1634395859187612,9.385517853031981,True,True,True
1.05,13,1007017.0300000003,1057367.8815000004,0.46228026865505145,-0.2933951589923411,0.2627700159767881,310053.04069731396,303089.9494676638,277844.58428407746,2.24577421140268,10.3880472646871,True,True,True
1.05,14,887748.6500000001,932136.0825000001,0.4208005616213373,-0.2710798961708804,0.26478034872988315,275762.1787534471,271699.044315547,246811.31765127776,1.4734197620090803,10.498488673478915,True,True,True
1.05,15,862822.3099999998,905963.4254999999,0.39317417603624166,-0.2533090683666168,0.26580922503734755,271497.9614404794,267772.80187792593,240813.43611849658,1.3720764394653189,11.301935807982037,True,True,True
1.05,16,866645.4500000001,909977.7225000001,0.40879574357780246,-0.26560492481133785,0.265086475453044,270319.7245201413,266117.76855223795,241222.78766258215,1.5544392756993526,10.763897051615697,True,True,True
1.05,17,730210.4199999998,766720.9409999999,0.35775511411371136,-0.24977268612871287,0.26761780899210397,229381.4658022785,227623.36204109556,205188.107715787,0.7664541487839162,10.547215749046442,True,True,True
1.05,18,659103.02,692058.1710000001,0.3680658247777148,-0.263658023782141,0.2673002444043506,207354.8826001974,205984.96067708093,184987.3790052295,0.6606653800179946,10.787063856169159,True,True,True
1.05,19,771484.15,810058.3575,0.35226809654078245,-0.21982689374499834,0.2677251281528749,244978.41033804847,242081.5786859934,216873.01387600883,1.1824844679405488,11.472601370568407,True,True,True
1.05,20,714900.15,750645.1575000001,0.34805999659167836,-0.23182623567562619,0.2675987978167323,228359.62427681612,226572.92651158723,200871.68220090165,0.7824052832838206,12.037128788841304,True,True,True
1.05,21,920955.3500000001,967003.1175000002,0.38652261357673007,-0.24151757588244213,0.26587563491699306,288910.70446589845,284569.07103964867,257102.56810032914,1.5027596275036075,11.009677341091313,True,True,True
1.05,22,975730.7399999999,1024517.2769999999,0.3840500228212227,-0.22755470451514134,0.2650336366103479,317153.36721252295,312789.6172894782,271531.5404617707,1.3759115854256814,14.384783977456957,True,True,True
